item_idx,layer_bt,layer_tr,mean_cos_baseline_vs_trauma,mean_cos_trauma_vs_relaxed,n_pairs_bt,n_pairs_tr
0,0,1,1.0,0.9986,6,252
1,0,1,1.0,0.9986,6,252
2,0,1,1.0,0.9986,6,252
3,0,1,1.0,0.9986,6,252
4,0,1,1.0,0.9986,6,252
5,0,1,1.0,0.9986,6,252
6,0,1,1.0,0.9986,6,252
7,0,1,1.0,0.9986,6,252
8,0,1,1.0,0.9986,6,252
9,0,1,1.0,0.9986,6,252
10,0,1,1.0,0.9986,6,252
11,0,1,1.0,0.9986,6,252
12,0,1,1.0,0.9985,6,252
13,0,1,1.0,0.9986,6,252
14,0,1,1.0,0.9986,6,252
15,0,1,1.0,0.9986,6,252
16,0,1,1.0,0.9986,6,252
17,0,1,1.0,0.9986,6,252
18,0,1,1.0,0.9986,6,252
19,0,1,1.0,0.9986,6,252
