strategy,item_idx,layer,mean_cos_bt,n_pairs
last_narrative,0,0,0.9749,30
last_narrative,1,0,0.9749,30
last_narrative,2,0,0.9749,30
last_narrative,3,0,0.9749,30
last_narrative,4,0,0.9749,30
last_narrative,5,0,0.9749,30
last_narrative,6,0,0.9749,30
last_narrative,7,0,0.9749,30
last_narrative,8,0,0.9749,30
last_narrative,9,0,0.9749,30
last_narrative,10,0,0.9749,30
last_narrative,11,0,0.9749,30
last_narrative,12,0,0.9749,30
last_narrative,13,0,0.9749,30
last_narrative,14,0,0.9749,30
last_narrative,15,0,0.9749,30
last_narrative,16,0,0.9749,30
last_narrative,17,0,0.9749,30
last_narrative,18,0,0.9749,30
last_narrative,19,0,0.9749,30
