strategy,item_idx,layer,mean_cos_bt,n_pairs
mean_narrative,0,0,0.944,30
mean_narrative,1,0,0.944,30
mean_narrative,2,0,0.944,30
mean_narrative,3,0,0.944,30
mean_narrative,4,0,0.944,30
mean_narrative,5,0,0.944,30
mean_narrative,6,0,0.944,30
mean_narrative,7,0,0.944,30
mean_narrative,8,0,0.944,30
mean_narrative,9,0,0.944,30
mean_narrative,10,0,0.944,30
mean_narrative,11,0,0.944,30
mean_narrative,12,0,0.944,30
mean_narrative,13,0,0.944,30
mean_narrative,14,0,0.944,30
mean_narrative,15,0,0.944,30
mean_narrative,16,0,0.944,30
mean_narrative,17,0,0.944,30
mean_narrative,18,0,0.944,30
mean_narrative,19,0,0.944,30
