label_pair,layer,acc,f1,delta,n
baseline_vs_trauma,0,0.9167,0.9231,0.4167,240
baseline_vs_trauma,1,0.9167,0.9231,0.4167,240
baseline_vs_trauma,2,0.9167,0.9231,0.4167,240
baseline_vs_trauma,3,0.9167,0.9231,0.4167,240
baseline_vs_trauma,4,0.9167,0.9231,0.4167,240
baseline_vs_trauma,5,0.9167,0.9231,0.4167,240
baseline_vs_trauma,6,0.9167,0.9231,0.4167,240
baseline_vs_trauma,7,0.9167,0.9231,0.4167,240
baseline_vs_trauma,8,0.9167,0.9231,0.4167,240
baseline_vs_trauma,9,0.9167,0.9231,0.4167,240
baseline_vs_trauma,10,0.9167,0.9231,0.4167,240
baseline_vs_trauma,11,0.9167,0.9231,0.4167,240
baseline_vs_trauma,12,0.9167,0.9231,0.4167,240
baseline_vs_trauma,13,0.9167,0.9231,0.4167,240
baseline_vs_trauma,14,0.9167,0.9231,0.4167,240
baseline_vs_trauma,15,0.9167,0.9231,0.4167,240
baseline_vs_trauma,16,0.9167,0.9231,0.4167,240
baseline_vs_trauma,17,0.9167,0.9231,0.4167,240
baseline_vs_trauma,18,0.9167,0.9231,0.4167,240
baseline_vs_trauma,19,0.9167,0.9231,0.4167,240
baseline_vs_trauma,20,0.9167,0.9231,0.4167,240
baseline_vs_trauma,21,0.9167,0.9231,0.4167,240
baseline_vs_trauma,22,0.9167,0.9231,0.4167,240
baseline_vs_trauma,23,0.9167,0.9231,0.4167,240
baseline_vs_trauma,24,0.9167,0.9231,0.4167,240
baseline_vs_trauma,25,0.9167,0.9231,0.4167,240
baseline_vs_trauma,26,0.9167,0.9231,0.4167,240
baseline_vs_trauma,27,0.9167,0.9231,0.4167,240
baseline_vs_trauma,28,0.9167,0.9231,0.4167,240
baseline_vs_trauma,29,0.9167,0.9231,0.4167,240
baseline_vs_trauma,30,0.8375,0.8382,0.3375,240
baseline_vs_trauma,31,0.8375,0.8382,0.3375,240
baseline_vs_trauma,32,0.8375,0.8382,0.3375,240
baseline_vs_trauma,33,0.8375,0.8382,0.3375,240
baseline_vs_trauma,34,0.8375,0.8382,0.3375,240
baseline_vs_trauma,35,0.8458,0.8465,0.3458,240
baseline_vs_trauma,36,0.8458,0.8477,0.3458,240
baseline_vs_trauma,37,0.8625,0.8619,0.3625,240
baseline_vs_trauma,38,0.8458,0.8477,0.3458,240
baseline_vs_trauma,39,0.8583,0.8595,0.3583,240
baseline_vs_trauma,40,0.8625,0.8664,0.3625,240
baseline_vs_trauma,41,0.8625,0.8653,0.3625,240
baseline_vs_trauma,42,0.8583,0.8618,0.3583,240
baseline_vs_trauma,43,0.8708,0.8735,0.3708,240
baseline_vs_trauma,44,0.8667,0.8699,0.3667,240
baseline_vs_trauma,45,0.8667,0.8699,0.3667,240
baseline_vs_trauma,46,0.875,0.879,0.375,240
baseline_vs_trauma,47,0.8958,0.8971,0.3958,240
baseline_vs_trauma,48,0.8792,0.8845,0.3792,240
baseline_vs_trauma,49,0.8917,0.8976,0.3917,240
baseline_vs_trauma,50,0.8958,0.902,0.3958,240
baseline_vs_trauma,51,0.8958,0.902,0.3958,240
baseline_vs_trauma,52,0.8833,0.8889,0.3833,240
baseline_vs_trauma,53,0.8875,0.8933,0.3875,240
baseline_vs_trauma,54,0.8958,0.902,0.3958,240
baseline_vs_trauma,55,0.8958,0.902,0.3958,240
baseline_vs_trauma,56,0.9,0.9062,0.4,240
baseline_vs_trauma,57,0.9,0.9062,0.4,240
baseline_vs_trauma,58,0.9042,0.9105,0.4042,240
baseline_vs_trauma,59,0.9042,0.9105,0.4042,240
baseline_vs_trauma,60,0.9042,0.9105,0.4042,240
baseline_vs_trauma,61,0.9042,0.9105,0.4042,240
baseline_vs_trauma,62,0.9042,0.9105,0.4042,240
baseline_vs_trauma,63,0.9125,0.9189,0.4125,240
baseline_vs_trauma,64,0.9125,0.9189,0.4125,240
baseline_vs_trauma,65,0.9125,0.9189,0.4125,240
baseline_vs_trauma,66,0.9167,0.9231,0.4167,240
baseline_vs_trauma,67,0.9167,0.9231,0.4167,240
baseline_vs_trauma,68,0.9167,0.9231,0.4167,240
baseline_vs_trauma,69,0.9167,0.9231,0.4167,240
baseline_vs_trauma,70,0.9167,0.9231,0.4167,240
baseline_vs_trauma,71,0.9167,0.9231,0.4167,240
baseline_vs_trauma,72,0.9167,0.9231,0.4167,240
baseline_vs_trauma,73,0.9167,0.9231,0.4167,240
baseline_vs_trauma,74,0.9167,0.9231,0.4167,240
baseline_vs_trauma,75,0.9167,0.9231,0.4167,240
