layer,loto_logreg,loto_robust,shuffle_control,loto_f1,valence_axis_alignment
0,0.8375,0.5875,0.5193,0.8382,0.0702
5,0.95,0.7625,0.4802,0.9483,0.16
10,1.0,1.0,0.2672,1.0,0.614
15,1.0,1.0,0.2641,1.0,0.6553
20,1.0,0.9958,0.2953,1.0,0.6169
25,1.0,0.9917,0.2719,1.0,0.7169
30,1.0,1.0,0.251,1.0,0.9066
35,1.0,0.8875,0.3135,1.0,0.8896
40,1.0,0.8708,0.3182,1.0,0.8828
45,1.0,0.8583,0.3203,1.0,0.8787
50,1.0,0.8458,0.3188,1.0,0.8752
55,1.0,0.8458,0.3161,1.0,0.8768
60,1.0,0.8458,0.3167,1.0,0.8737
65,1.0,0.8542,0.3182,1.0,0.8708
70,1.0,0.8458,0.3255,1.0,0.8706
75,1.0,0.8667,0.3229,1.0,0.8499
79,1.0,0.8667,0.3109,1.0,0.8316
